resource_key	step_number	title	description	sort_order
step-03	03	기업·제품·오더 등록	"기업·제품·바이어·오더 정보를 구조화하고 공개정보와 보호정보를 구분해 다음 단계의 판단 기반을 만든다.

**등록 흐름**
기업 확인 → 담당자·제품자료 → 목표시장·예산·일정 → 가격·MOQ·인증 → 오더 유형 → 보호정보 승인

**방향 구분**
- KOREA_TO_INDIA
- INDIA_TO_KOREA
- BIDIRECTIONAL

**결과**
시장검증 설계, 현지 수행원 배정, 바이어 탐색과 거래조건 매칭에 사용할 표준 데이터가 생성된다.

> 관련 계획서: V2 03·05·06·08, V3 02·03"	3
step-03/company-db	03.1	기업·담당자 DB	"기업 실체와 실행 의지를 확인하고 고객관리 기준을 설정한다.

**필수 항목**
사업자 정보, 대표·담당자, 산업, 제조 여부, 수출경험, 목표, 예산, 일정, 기존 인도 접촉 이력

**판정**
자료완성도, 예산 현실성, 의사결정 속도, 직접거래 위험과 후속 가능성을 평가한다.

> 관련 계획서: V2 06, V3 06"	3.1
step-03/korea-product	03.2	한국제품 인도진출 등록	"한국 제품을 인도 시장검증과 바이어·유통 파트너 탐색에 필요한 형태로 등록한다.

**제품 데이터**
제품명, 제조사·브랜드, 가격, MOQ, 생산능력, 인증·성분·규격, 샘플, 희망 지역과 바이어 유형

**연결 오더**
시장성 조사, 바이어 후보, 샘플 테스트, 현장조사, 통역·미팅, 유통 파트너 검증, 수출입 실행

> 관련 계획서: V2 06, V3 02·03"	3.2
step-03/india-product	03.3	인도제품 한국수출 등록	"인도 현지 제품과 공급자 정보를 한국 수입·유통 검토가 가능한 형태로 등록한다.

**검증 항목**
공급자 유형, 현지 가격, MOQ, 샘플, 사진·영상, 인증·검역 이슈, 공급지역, 거래이력과 위험 메모

**후속 흐름**
제품정보 열람 → 상세 리포트 → 샘플 소싱 → 한국 수요 확인 → 수입·유통 계약

> 관련 계획서: V3 01·02·04"	3.3
step-03/protected-data	03.4	보호정보·자료 접근	"연락처, 상세 가격, 바이어·공급자, 검증 원본, 계약과 정산자료를 승인된 역할에만 공개한다.

**통제 수단**
- 계정별 메뉴·버전·섹션·문서 공개 범위
- 기업·전문가별 파일 접근과 다운로드 기록
- PDF 원본과 미리보기 권한 분리
- 프로젝트 ID, 수정이력, 접속·감사로그

> 관련 계획서: V2 05·11, V3 02·06"	3.4
step-04	04	시장검증	"대규모 진출비용을 집행하기 전에 제품·가격·패키지·소비자·채널·기관·바이어 반응을 단계적으로 확인한다.

**검증 단계**
진입 진단 → 검증설계 → 현장조사 → 소비자반응 → 채널·기관 검증 → 바이어 탐색 → 파일럿 → 확장판정

**운영 원칙**
판매 성공을 보장하지 않으며, 도시·표본·샘플·산출물·외부 실비를 SOW로 확정한다.

> 관련 계획서: V2 06, V3 03·05"	4
step-04/entry-diagnosis	04.1	진입 진단	"현지조사 전에 기업과 제품이 인도 검토의 최소조건을 갖추었는지 판단한다.

**검토**
영문자료, 가격·MOQ, 생산능력, 인증, 패키지, 유통기한, 목표시장, 담당자와 예산

**산출물**
준비도 평가표, 부족자료, 위험요인, 진행·보완·보류 의견과 다음 단계 견적기준

> 관련 계획서: V2 06.3 진입 진단"	4.1
step-04/field-consumer	04.2	현장·소비자 검증	"현지 매장과 소비자·업계 관계자를 통해 가격·패키지·사용성·메시지 반응을 확인한다.

**수행**
경쟁제품·매대·가격 조사, 사진·영상 증빙, 인터뷰, 샘플 반응, A/B 테스트

**산출물**
반응 요약, 수정의견, 가격 수용도, 채널 우선순위와 후속 실행 여부

> 관련 계획서: V2 06.2·06.3, V3 03"	4.2
step-04/channel-institution	04.3	채널·기관 검증	"온라인·리테일·클리닉·B2B·대학·협회·기관 중 실제 진입 가능성이 높은 경로를 압축한다.

**수행**
유통·수입 후보 롱리스트, 후보 검수, 1차 접촉, 기관 유형 분류와 미팅·프로그램 연결

**전환 기준**
유효응답, 조건 적합성, 예상 마진, 실행예산과 의사결정자를 확인한다.

> 관련 계획서: V2 06.3 채널·기관 연계, V3 05"	4.3
step-04/result-conversion	04.4	결과판정·후속 전환	"검증 결과를 진행, 보완, 보류로 구분하고 실행 가능한 기업만 다음 단계로 넘긴다.

**후속 선택**
- IBS 법인·인증·부동산 실행
- 쇼룸 입점 또는 IBS 행사 참가
- 바이어 미팅과 파일럿 판매
- 월간 관리 또는 수출입 거래

모든 결과와 증빙, 수정이력, 다음 행동을 프로젝트 ID로 기록한다.

> 관련 계획서: V2 03·06·07"	4.4
step-05	05	IBS 현지 실행	"IBS를 교육·숙박·쇼룸·시장검증·행사·법인·부동산·현지관리의 실행 거점으로 운영한다.

**실행 원칙**
본사와 IBS가 프로젝트 범위와 수용량을 승인하고, 현지 수행원·전문가에게 오더 단위로 업무를 배정한다.

**수익**
숙박, 비즈니스센터, 현지 수행비, 쇼룸, 행사 운영, 법인·부동산 프로젝트와 후속 거래

> 관련 계획서: V1 04·05·06, V2 07, V3 05-1"	5
step-05/corporate-compliance	05.1	법인·인증·부동산 실행	"인도 법인, 세무·법무 조정, 인증·통관, 공장·사무실·주거·상업공간 업무를 프로젝트로 수행한다.

**운영**
외부 전문가는 책임 산출물을 담당하고, IBS는 현장·자료·일정·미팅을 관리하며 본사는 견적·계약·정산을 통제한다.

**주의**
전문가 의견과 정부·기관 결과를 보장하지 않으며 외부 실비와 책임범위를 계약에 표시한다.

> 관련 계획서: V2 07, V3 03·04"	5.1
step-05/showroom	05.2	쇼룸 입점·운영	"한국 제품을 IBS 쇼룸에 입점시켜 바이어·소비자·기관 반응과 반복 노출을 확보한다.

**운영 항목**
입점 적합성, 전시, 기본홍보, 방문·문의·샘플·미팅 기록, 중도철수와 추가비용

**후속 전환**
시장검증, 현지행사, 파일럿 판매, 바이어 협상과 장기 유통계약

> 관련 계획서: V1 08, V2 07"	5.2
step-05/ibs-event	05.3	IBS 인도 행사	"IBS 주최·공동운영 행사에 한국 기업이 참가하도록 기획하고 현장 리드를 후속 사업으로 전환한다.

**행사 유형**
기업설명회, B2B 상담회, 제품 쇼케이스, 시장검증 행사, 쇼룸 연계, 산업별 네트워킹, 기관 공동행사

**진행**
기업 선별 → SOW → 번역·샘플·부스·미팅 준비 → 현장 운영 → 리드 등급화 → 검증·쇼룸·거래 전환

> 관련 계획서: V2 06.3·07.4, V3 05-1"	5.3
step-05/executor-expert	05.4	현지 수행원·전문가 배정	"업무 성격에 따라 IBS 인력, 고급과정 수료자, 플랫폼 구성원, 영업자 또는 인도 거주 제3자를 현지 수행원으로 배정한다.

**필수 확정**
업무범위, 일정, 산출물, 지급액, 세금·증빙, 고객·공급자 우회금지, 자료반출 금지와 환수조건

**전문가 분야**
통역, 조사, 바이어, 소싱, 법률, 세무, 인증, 통관, 품질, 산업기술

> 관련 계획서: V2 07·09, V3 03·04-1"	5.4
step-06	06	Ctrl Shift 거래 운영	"검증된 기업·제품·바이어의 조건을 구조화하고 제안·협상·MOQ·계약·입금·납품·정산·재주문을 관리한다.

**거래 방향**
한국→인도, 인도→한국, 양방향 거래를 구분한다.

**핵심 통제**
계약·수금주체, 직접비, 성공수수료, 역할별 기여, 반복거래와 클레임을 딜별 기록으로 확정한다.

> 관련 계획서: V2 08·09, V3 04·04-1·06"	6
step-06/korea-to-india	06.1	한국 → 인도 수출	"한국 기업과 제품을 인도 바이어·유통사·기관에 연결한다.

**참여 가능 주체**
플랫폼 본사, 마케팅 시행사, 영업자, 현지 수행원, 외부 전문가

**현지 수행원**
영업자, 플랫폼 구성원, IBS·고급과정 인력 또는 인도 거주 제3자가 될 수 있다.

**수익**
시장검증, 바이어·행사·쇼룸 수행비, PM 관리비, 수출·유통 성공수수료

> 관련 계획서: V2 09.4, V3 04-1"	6.1
step-06/india-to-korea	06.2	인도 → 한국 수출	"인도 공급자와 제품을 한국 수입사·유통사·무역회사에 연결한다.

**참여 구조**
플랫폼 본사는 원칙적으로 포함하며, 시행사·한국 영업자·현지 수행원은 실제 기여가 있을 때만 포함한다.

**통제**
공급자 정보, 가격·MOQ, 샘플, 검역·통관, 한국 수요와 장기 공급계약을 플랫폼이 관리한다.

> 관련 계획서: V2 09.4, V3 04·04-1"	6.2
step-06/matching-moq	06.3	조건매칭·MOQ·협상	"산업, 지역, 가격, MOQ, 마진, 인증, 납기, 결제와 위험허용도를 기준으로 후보를 압축한다.

**기능**
- 기업·제품·바이어 조건 필터
- 매칭 이유와 다국어 제안 초안
- 복수 바이어 수요를 익명으로 묶는 MOQ 조율
- 미팅·제안·협상과 다음 행동 기록

AI는 문서와 설명을 보조하며 가격·계약·규제 판단은 책임자가 승인한다.

> 관련 계획서: V2 08"	6.3
step-06/contract-settlement	06.4	계약·정산·커미션	"거래마다 계약 당사자, 수금계좌, 통화·환율, 직접비와 역할별 커미션을 사전 확정한다.

**배분 원칙**
- 참여하지 않은 역할에는 자동 배분하지 않음
- 동일 인물의 복수역할은 실제 업무가 구분된 경우만 합산
- 시행사와 소속 영업자의 동일 기여를 이중 계산하지 않음
- 납품·검수·클레임과 수수료 입금 후 지급

**기록**
딜별 커미션 배분표, 증빙, 지급·환수조건과 반복거래 보호기간

> 관련 계획서: V2 09.3·09.4, V3 04-1·06"	6.4
step-07	07	반복수익·확장	"최초 교육·검증·거래를 반복관리, 멤버십, 장기 운영계약과 플랫폼 데이터 자산으로 확장한다.

**수익 축**
재주문·월간관리, 멤버십·정보접근, 제휴, 행사·쇼룸, 수출입 커미션, 라이선스와 장기 운영

**확장**
10기 최대 200명의 한국 영업 파트너와 IBS 현지 실행인력을 산업·지역별로 배치한다.

> 관련 계획서: V1 09, V2 10·12, V3 04·07·09"	7
step-07/recurring-management	07.1	월간관리·재주문	"거래 이후 고객·공급자 관리, 추가 샘플, 납품·품질·클레임과 재주문을 월간 계약으로 관리한다.

**배분**
최초 리드뿐 아니라 실제 계정관리, 공급자관리, 현지 수행과 재주문 기여를 반영한다.

**수익**
월 리테이너, 반복 프로젝트, 재주문 커미션과 제휴 수익

> 관련 계획서: V2 09.5·10, V3 04"	7.1
step-07/subscription-data	07.2	멤버십·구독·정보수익	"기업·제품·바이어·검증·거래 데이터가 축적될수록 정보 접근과 관리기능을 반복수익으로 전환한다.

**수익**
기업 멤버십, e카탈로그, 고급정보, AI 문서, 우선 매칭, 기업용 관리기능과 제휴서비스

**원칙**
공개 콘텐츠와 보호 데이터를 분리하고 데이터 접근·수정·다운로드 기록을 유지한다.

> 관련 계획서: V2 05·08, V3 02·07"	7.2
step-07/license-longterm	07.3	장기 운영·라이선스	"기관·협회·대기업·유통사와 선별적으로 장기 운영계약을 체결한다.

**계약 구조**
월정액 + 실행 오더비 + 매출 연동 커미션 + 성공보수 + 독점·우선권 비용

**적용**
기관 전용 인도 데스크, 유통개척, 지역운영, 제품 소싱, 프랜차이즈와 라이선스 사업

> 관련 계획서: V3 04·05"	7.3
step-07/network-scale	07.4	10기·200명·플랫폼 고도화	"기수별 운영데이터를 바탕으로 영업망과 플랫폼 기능을 단계적으로 확대한다.

**단계**
1기 기반 구축 → 2~3기 상품 검증 → 4~6기 국내 확장 → 7~8기 거래 확대 → 9~10기 운영 체계화

**플랫폼 고도화**
멀티피드, 고객관리, 조건매칭, AI 문서, MOQ, 인보이스·상태·정산과 국가 확장

> 관련 계획서: V1 09, V2 08·10·12"	7.4
step-07/governance-risk	07.5	문서·권한·리스크 통제	"교육, 기업정보, 현지 실행과 거래 전 단계에 계약·권한·로그·위험관리 체계를 적용한다.

**통제 문서**
구성원 합의, 교육·영업 계약, NDA, 리드·정산규정, 시장검증·행사 SOW, 커미션 배분표와 정보보안 정책

**운영 기록**
계정·기기·IP·국가·OS, 콘텐츠 수정, 문서 다운로드, 프로젝트 상태, 계약·정산과 사고 대응

> 관련 계획서: V1 10·11, V2 11·12, V3 06"	7.5
